PROFESSOR|TITULO|SITUACAO|FUNCAO|INICIO|TERMINO|CARGA HORARIA|CARGA HORARIA PAD|20201
CLAUDIMIR ANTONIO CARMINATTI*|Membrana Polimérica Condutora para Célula Combustível Microbiana|Projeto Final Aprovado|Participante|01/04/2018|01/04/2020|3|1
CLAUDIMIR ANTONIO CARMINATTI*|Nanocompósitos Biopoliméricos Multifuncionais|Projeto Final Aprovado|Participante|01/07/2018|01/07/2022|1|1
CRISTIANO VASCONCELLOS FERREIRA*|Modelo de Desenvolvimento de Tecnologia e Modelo de Desenvolvimento de Produtos para Instituições de Pesquisa & Desenvolvimento & Inovação|Projeto Final Aprovado|Coordenador|20/02/2019|20/02/2021|2|0
DANIEL HASTENPFLUG*|Desenvolvimento de Concretos leves estruturais|Projeto Final Aprovado|Coordenador|19/03/2018|19/03/2020|2|2
DANIEL HASTENPFLUG*|Desenvolvimento de Concretos permeáveis para pavimentação urbana|Projeto Final Aprovado|Coordenador|02/04/2018|02/04/2021|1|1
DERCE DE OLIVEIRA SOUZA RECOUVREUX*|ENERGIA RENOVÁVEL: CÉLULAS COMBUSTÍVEIS MICROBIANAS|Projeto Final Aprovado|Coordenador|07/04/2017|07/05/2020|5|3
DERCE DE OLIVEIRA SOUZA RECOUVREUX*|Membrana Polimérica Condutora para Célula Combustível Microbiana|Projeto Final Aprovado|Coordenador|01/04/2018|01/04/2020|3|2
DERCE DE OLIVEIRA SOUZA RECOUVREUX*|Nanocompósitos Biopoliméricos Multifuncionais|Projeto Final Aprovado|Coordenador|01/07/2018|01/07/2022|8|7
DERCE DE OLIVEIRA SOUZA RECOUVREUX*|Produção de eletricidade utilizando-se células microbianas a combustível e células biofotovoltaicas|Projeto Final Aprovado|Participante|28/05/2018|28/05/2020|2|0
DIEGO ALEXANDRE DUARTE*|Desenvolvimento de materiais para minimização de processos de bioincrustação em estruturas navais - Parte 2|Projeto Final Aprovado|Participante|26/05/2017|20/05/2020|1|1
DIEGO ALEXANDRE DUARTE*|Filmes finos termoelétricos para aplicações como micro ou nanogeradores|Projeto Final Aprovado|Participante|09/04/2018|09/04/2020|1|1
